station_id,year_month,NO2_sat
pt_41,2023_06,24.528172
pt_42,2023_06,24.528172
pt_43,2023_06,24.528172
pt_44,2023_06,24.528172
pt_45,2023_06,24.528172
pt_46,2023_06,24.528172
pt_47,2023_06,24.528172
pt_48,2023_06,24.528172
pt_49,2023_06,24.528172
pt_50,2023_06,24.528172
pt_51,2023_06,24.528172
pt_52,2023_06,24.528172
pt_53,2023_06,24.528172
pt_54,2023_06,24.528172
pt_55,2023_06,24.528172
pt_56,2023_06,24.528172
pt_57,2023_06,24.528172
pt_58,2023_06,24.528172
pt_59,2023_06,24.528172
pt_60,2023_06,24.528172
pt_61,2023_06,24.528172
pt_62,2023_06,24.528172
pt_63,2023_06,24.528172
pt_64,2023_06,24.528172
pt_65,2023_06,24.528172
pt_66,2023_06,24.528172
pt_67,2023_06,24.528172
pt_68,2023_06,24.528172
pt_69,2023_06,24.528172
pt_70,2023_06,24.528172
pt_71,2023_06,24.528172
pt_72,2023_06,24.528172
pt_1,2023_07,17.216888
pt_2,2023_07,17.216888
pt_3,2023_07,17.216888
pt_4,2023_07,17.216888
pt_5,2023_07,17.216888
pt_6,2023_07,17.216888
pt_7,2023_07,17.216888
pt_8,2023_07,17.216888
pt_9,2023_07,17.216888
pt_10,2023_07,17.216888
pt_11,2023_07,17.216888
pt_12,2023_07,17.216888
pt_13,2023_07,17.216888
pt_14,2023_07,17.216888
pt_15,2023_07,17.216888
pt_16,2023_07,17.216888
pt_17,2023_07,17.216888
pt_18,2023_07,17.216888
pt_19,2023_07,17.216888
pt_20,2023_07,17.216888
pt_21,2023_07,17.216888
pt_22,2023_07,17.216888
pt_23,2023_07,17.216888
pt_24,2023_07,17.216888
pt_25,2023_07,17.216888
pt_26,2023_07,17.216888
pt_27,2023_07,17.216888
pt_28,2023_07,17.216888
pt_29,2023_07,17.216888
pt_30,2023_07,17.216888
pt_31,2023_07,17.216888
pt_32,2023_07,17.216888
pt_33,2023_07,17.216888
pt_34,2023_07,17.216888
pt_35,2023_07,17.216888
pt_36,2023_07,17.216888
pt_37,2023_07,17.216888
pt_38,2023_07,17.216888
pt_39,2023_07,17.216888
pt_40,2023_07,17.216888
pt_41,2023_07,17.216888
pt_42,2023_07,17.216888
pt_43,2023_07,17.216888
pt_44,2023_07,17.216888
pt_45,2023_07,17.216888
pt_46,2023_07,17.216888
pt_47,2023_07,17.216888
pt_48,2023_07,17.216888
pt_49,2023_07,17.216888
pt_50,2023_07,17.216888
pt_51,2023_07,17.216888
pt_52,2023_07,17.216888
pt_53,2023_07,17.216888
